;Code famille;Code attribut;Attribut lib_x;Format_x;Facet_x;Valeur;Nombre de produits concernes_x;Attribut lib_y;Format_y;Facet_y;Nombre de produits concernes_y
71;16852;X_ATTR_MP_X_ATTR_45602;Un adaptateur coaxial;;1;oui;2307;Un adaptateur coaxial;;1;2937
72;16852;X_ATTR_MP_type;Type;;0;MAJ;2;Type;;0;660
73;274591;X_ATTR_MP_type;Type;;0;MAJ;1;Type;;0;69
74;289564;X_ATTR_MP_type;Type;;0;MAJ;2;Type;;0;41
75;575;X_ATTR_MP_X_ATTR_129588;Compatible Haute Définition;;1;oui;5;Compatible Haute Définition;;1;285
76;575;X_ATTR_MP_X_ATTR_8396;Boîtier multi-diffusion;;1;oui;5;Boîtier multi-diffusion;;1;290
77;575;X_ATTR_MP_X_ATTR_8397;Boîtier multi-péritel;;1;oui;5;Boîtier multi-péritel;;1;276
78;575;X_ATTR_MP_type;Type;;0;MAJ;2;Type;;0;138
79;580;X_ATTR_MP_X_ATTR_8423;Coque de protection;;1;non;12;Coque de protection;;1;3998
80;580;X_ATTR_MP_X_ATTR_8423;Coque de protection;;1;oui;22;Coque de protection;;1;472
81;580;X_ATTR_MP_X_ATTR_8424;Piloter votre home cinéma;;1;non;2;Piloter votre home cinéma;;1;3471
82;580;X_ATTR_MP_X_ATTR_8424;Piloter votre home cinéma;;1;oui;32;Piloter votre home cinéma;;1;999
83;580;X_ATTR_MP_X_ATTR_8425;Remplacer la télécommande;;1;non;2;Remplacer la télécommande;;1;1867
84;580;X_ATTR_MP_X_ATTR_8425;Remplacer la télécommande;;1;oui;32;Remplacer la télécommande;;1;2603
85;580;X_ATTR_MP_X_ATTR_8426;Télécommande pour zapper;;1;non;10;Télécommande pour zapper;;1;1107
86;580;X_ATTR_MP_X_ATTR_8426;Télécommande pour zapper;;1;oui;24;Télécommande pour zapper;;1;3363
87;580;X_ATTR_MP_type;Type;;0;MAJ;10;Type;;0;329
88;cabl_connect_vid;X_ATTR_MP_type;Type;;0;ACC;1;Type;;0;30
